year,temp_anomaly_c,precip_anomaly_pct,co2_ppm,heatwave_risk,seasonal_precip_mm,yield_bu_acre,scenario_SSP1-2.6,scenario_SSP3-7.0,scenario_SSP5-8.5
2017,-0.05759068989981323,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.3110354231671323,175.0,1.0,0.0,0.0
2016,-0.21869809750273098,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.0392572783523943,159.9,1.0,0.0,0.0
2014,2.540804555536558,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.0824719364439528,178.8,1.0,0.0,0.0
2013,1.2563155884079396,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.8171448211326908,136.2,1.0,0.0,0.0
2012,-0.8083590612498387,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-2.346236456170745,91.7,1.0,0.0,0.0
2011,-0.036603541349088144,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6993724545415674,140.5,1.0,0.0,0.0
2010,-0.7854424097726115,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.6813259672582397,122.2,1.0,0.0,0.0
2009,-0.894623667640543,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.7199636579735422,150.2,1.0,0.0,0.0
2008,-1.8528927314698285,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.235919009836588,135.0,1.0,0.0,0.0
2007,-1.3300400457078592,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.5891806086039576,137.6,1.0,0.0,0.0
2006,-1.2396364425032067,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.4868219618309061,142.4,1.0,0.0,0.0
2005,0.3847067703706918,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.1272869460540472,156.8,1.0,0.0,0.0
2019,0.26462412530602314,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.011620826206185,152.3,1.0,0.0,0.0
2018,0.10351671770310451,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6613281246866581,142.6,1.0,0.0,0.0
2017,-0.05759068989981323,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.3110354231671323,129.7,1.0,0.0,0.0
2015,-0.3798055051056496,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.3895499798719205,164.0,1.0,0.0,0.0
2023,0.4406684419992775,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.44565152256864343,172.8,1.0,0.0,0.0
2022,0.43568947230249977,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.15687016086280786,146.1,1.0,0.0,0.0
2021,0.4307105026057195,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.7593918442942592,171.6,1.0,0.0,0.0
2020,0.4257315329089418,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.3619135277257106,143.6,1.0,0.0,0.0
2019,0.26462412530602314,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.011620826206185,166.8,1.0,0.0,0.0
2017,-0.05759068989981323,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.3110354231671323,170.0,1.0,0.0,0.0
2016,-0.21869809750273098,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.0392572783523943,186.3,1.0,0.0,0.0
2015,-0.3798055051056496,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.3895499798719205,154.3,1.0,0.0,0.0
2014,2.540804555536558,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.0824719364439528,170.9,1.0,0.0,0.0
2013,1.2563155884079396,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.8171448211326908,109.1,1.0,0.0,0.0
2012,-0.8083590612498387,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-2.346236456170745,44.5,1.0,0.0,0.0
2011,-0.036603541349088144,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6993724545415674,120.1,1.0,0.0,0.0
2010,-0.7854424097726115,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.6813259672582397,75.2,1.0,0.0,0.0
2009,-0.894623667640543,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.7199636579735422,153.0,1.0,0.0,0.0
2008,-1.8528927314698285,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.235919009836588,118.0,1.0,0.0,0.0
2007,-1.3300400457078592,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.5891806086039576,152.0,1.0,0.0,0.0
2006,-1.2396364425032067,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.4868219618309061,157.7,1.0,0.0,0.0
2005,0.3847067703706918,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.1272869460540472,150.0,1.0,0.0,0.0
2024,0.4456474116960573,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.0481732060000948,183.9,1.0,0.0,0.0
2020,0.4257315329089418,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.3619135277257106,155.2,1.0,0.0,0.0
2018,0.10351671770310451,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6613281246866581,161.8,1.0,0.0,0.0
2016,-0.21869809750273098,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.0392572783523943,163.9,1.0,0.0,0.0
2015,-0.3798055051056496,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.3895499798719205,152.4,1.0,0.0,0.0
2014,2.540804555536558,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.0824719364439528,162.2,1.0,0.0,0.0
2013,1.2563155884079396,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.8171448211326908,126.5,1.0,0.0,0.0
2012,-0.8083590612498387,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-2.346236456170745,76.7,1.0,0.0,0.0
2011,-0.036603541349088144,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6993724545415674,107.7,1.0,0.0,0.0
2010,-0.7854424097726115,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.6813259672582397,84.5,1.0,0.0,0.0
2009,-0.894623667640543,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.7199636579735422,138.9,1.0,0.0,0.0
2008,-1.8528927314698285,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.235919009836588,109.0,1.0,0.0,0.0
2007,-1.3300400457078592,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.5891806086039576,151.3,1.0,0.0,0.0
2006,-1.2396364425032067,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.4868219618309061,147.0,1.0,0.0,0.0
2005,0.3847067703706918,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.1272869460540472,146.3,1.0,0.0,0.0
2025,0.4506263813928353,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.650694889431546,182.9,1.0,0.0,0.0
2024,0.4456474116960573,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.0481732060000948,172.2,1.0,0.0,0.0
2023,0.4406684419992775,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.44565152256864343,205.3,1.0,0.0,0.0
2022,0.43568947230249977,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.15687016086280786,148.7,1.0,0.0,0.0
2020,0.4257315329089418,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.3619135277257106,159.3,1.0,0.0,0.0
2018,0.10351671770310451,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6613281246866581,172.5,1.0,0.0,0.0
2016,-0.21869809750273098,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.0392572783523943,181.1,1.0,0.0,0.0
2015,-0.3798055051056496,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.3895499798719205,162.7,1.0,0.0,0.0
2014,2.540804555536558,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.0824719364439528,164.0,1.0,0.0,0.0
2013,1.2563155884079396,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.8171448211326908,131.2,1.0,0.0,0.0
2012,-0.8083590612498387,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-2.346236456170745,61.2,1.0,0.0,0.0
2011,-0.036603541349088144,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6993724545415674,126.1,1.0,0.0,0.0
2010,-0.7854424097726115,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.6813259672582397,94.3,1.0,0.0,0.0
2009,-0.894623667640543,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.7199636579735422,144.4,1.0,0.0,0.0
2008,-1.8528927314698285,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.235919009836588,112.0,1.0,0.0,0.0
2007,-1.3300400457078592,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.5891806086039576,155.5,1.0,0.0,0.0
2006,-1.2396364425032067,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.4868219618309061,157.5,1.0,0.0,0.0
2005,0.3847067703706918,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.1272869460540472,163.9,1.0,0.0,0.0
2025,0.4506263813928353,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.650694889431546,183.4,1.0,0.0,0.0
2023,0.4406684419992775,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.44565152256864343,173.9,1.0,0.0,0.0
2022,0.43568947230249977,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.15687016086280786,139.5,1.0,0.0,0.0
2021,0.4307105026057195,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.7593918442942592,166.1,1.0,0.0,0.0
2020,0.4257315329089418,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.3619135277257106,149.2,1.0,0.0,0.0
2016,-0.21869809750273098,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.0392572783523943,174.6,1.0,0.0,0.0
2015,-0.3798055051056496,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.3895499798719205,154.8,1.0,0.0,0.0
2014,2.540804555536558,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.0824719364439528,153.7,1.0,0.0,0.0
2013,1.2563155884079396,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.8171448211326908,117.9,1.0,0.0,0.0
2012,-0.8083590612498387,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-2.346236456170745,85.3,1.0,0.0,0.0
2011,-0.036603541349088144,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6993724545415674,114.9,1.0,0.0,0.0
2010,-0.7854424097726115,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.6813259672582397,71.2,1.0,0.0,0.0
2009,-0.894623667640543,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.7199636579735422,137.2,1.0,0.0,0.0
2008,-1.8528927314698285,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.235919009836588,114.0,1.0,0.0,0.0
2007,-1.3300400457078592,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.5891806086039576,141.9,1.0,0.0,0.0
2006,-1.2396364425032067,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.4868219618309061,137.8,1.0,0.0,0.0
