year,scenario,temp_anomaly_c,precip_anomaly_pct,co2_ppm,heatwave_risk,seasonal_precip_mm,seasonal_cdd,yield_bu_acre
2020,SSP1-2.6,2.094331054687503,-0.02,445.0,0.15,599.8293260810897,20.0,185.3
2019,SSP1-2.6,1.7712292480468772,-0.02,445.0,0.15,545.8130023477135,20.0,182.5
2018,SSP1-2.6,1.4481274414062515,-0.02,445.0,0.15,491.796678614337,20.0,180.2
2017,SSP1-2.6,1.1250256347656276,-0.02,445.0,0.15,437.78035488096066,20.0,211.6
2016,SSP1-2.6,0.8019238281250036,-0.02,445.0,0.15,383.7640311475843,20.0,203.7
2015,SSP1-2.6,0.4788220214843779,-0.02,445.0,0.15,329.747707414208,20.0,204.7
2014,SSP1-2.6,6.336121826171878,-0.02,445.0,0.15,556.7384840687737,20.0,175.4
2013,SSP1-2.6,3.760072021484378,-0.02,445.0,0.15,263.8111313106492,20.0,182.0
2012,SSP1-2.6,-0.3806445312499971,-0.02,445.0,0.15,28.020010291220387,20.0,169.6
2011,SSP1-2.6,1.167115478515628,-0.02,445.0,0.15,497.66324342926964,20.0,184.4
2010,SSP1-2.6,-0.3346850585937471,-0.02,445.0,0.15,284.75485965027474,20.0,192.7
2009,SSP1-2.6,-0.5536486816406221,-0.02,445.0,0.15,278.7967965763528,20.0,193.6
2008,SSP1-2.6,-2.475462646484372,-0.02,445.0,0.15,199.23472977534402,20.0,175.0
2007,SSP1-2.6,-1.426878662109372,-0.02,445.0,0.15,480.67128671100363,20.0,171.4
2006,SSP1-2.6,-1.245573730468747,-0.02,445.0,0.15,464.88723589573056,20.0,165.4
2005,SSP1-2.6,2.012055664062503,-0.02,445.0,0.15,409.4457159284502,20.0,185.8
2004,SSP1-2.6,-2.148222656249997,-0.02,445.0,0.15,663.0195357254706,20.0,187.3
2003,SSP1-2.6,1.625581054687503,-0.02,445.0,0.15,572.2603899193928,20.0,155.8
2002,SSP1-2.6,0.5182812500000029,-0.02,445.0,0.15,511.0179207287729,20.0,148.6
